pinyin,kana
a,アァ
ai,アイ
an,アン
ang,アァン
ao,アオ
ba,バァ
bai,バイ
ban,バン
bang,バァン
bao,バオ
bei,ベイ
ben,ベン
beng,ボン
bi,ビィ
bian,ビエン
biao,ビアオ
bie,ビエ
bin,ビン
bing,ビィン
bo,ボォ
bu,ブゥ
ca,ツァア
cai,ツァイ
can,ツァン
cang,ﾂｧｱﾝ
cao,ツァオ
ce,ツァ
cen,ツェン
ceng,ツゥン
cha,チャア
chai,チャイ
chan,チャン
chang,ﾁｬｱﾝ
chao,チャオ
che,チョァ
chen,チェン
cheng,チョン
chi,チー
chong,チォン
chou,チョウ
chu,チュウ
chua,チュワ
chuai,ﾁｭﾜｲ
chuan,ﾁｭﾜﾝ
chuang,ﾁｭｱﾝ
chui,チュイ
chun,チュン
chuo,チュオ
ci,ツー
cong,ツォン
cou,ツォウ
cu,ツゥ
cuan,ツワン
cui,ツイ
cun,ツン
cuo,ツゥオ
da,ダァ
dai,ダイ
dan,ダン
dang,ダァン
dao,ダオ
de,ドァ
dei,デイ
den,デン
deng,デゥン
di,ディー
dian,ﾃﾞｨｴﾝ
diao,ﾃﾞｨｱｵ
die,ディエ
ding,ディン
diu,ディウ
dong,ドォン
dou,ドウ
du,ドゥ
duan,ドワン
dui,ドゥイ
dun,ドゥン
duo,ドゥオ
e,ウァ
ei,エイ
en,エン
eng,エゥン
er,アル
fa,ファア 
fan,ファン 
fang,ﾌｧｱﾝ 
fei,フェイ 
fen,フェン
feng,フォン 
fo,フォ 
fou,フォウ 
fu,フゥ
ga,ガァ
gai,ガイ
gan,ガン
gang,ガァン
gao,ガオ
ge,グァ
gei,ゲイ
gen,ゲン
geng,ゲゥン
gong,ゴォン
gou,ゴウ
gu,グゥ
gua,グワ
guai,グワイ
guan,グワン
guang,グアン
gui,グゥイ
gun,グン
guo,グゥオ
ha,ハァ
hai,ハイ
han,ハン
hang,ハァン
hao,ハオ
he,ホァ
hei,ヘイ
hen,ヘン
heng,ヘゥン
hong,ホォン
hou,ホウ
